Predmet	Pitanje	Tip_pitanja	Odgovor_A	Odgovor_B	Odgovor_C	Odgovor_D	Odgovor_E	Odgovor_F	Tocan_odgovor	Napomena	Pregledano	Provjereno
UFAF 	Pri sumnji na prijelom ekstremiteta potrebno je napraviti sljedece _________________________.	otvoreno							izvrsiti obveznu imobilizaciju slomljenog ekstremiteta prije pomicanja, izbjegavati nepotrebno pomicanje slomljenog ekstremiteta	Na temelju dostavljenih izvora, napominjem da se u njima ne nalazi poglavlje o prvoj pomoći, prijelomima ili postupcima imobilizacije. Dokumenti su primarno fokusirani na funkcionalnu anatomiju (kosti, zglobovi, mišići) i fiziologiju sporta (energetski sustavi, potrošnja kisika),,,. Ipak, na temelju općih medicinskih i kinezioloških standarda, vaš ponuđeni odgovor je logički točan, ali morate uzeti u obzir da ta informacija nije izravno izvučena iz priloženih materijala te biste je trebali provjeriti u literaturi specifičnoj za prvu pomoć u sportu.  Uvid iz izvora koji bi mogli biti povezani s temom: • Izvori detaljno opisuju koštani sustav (osteologiju), navodeći da se kosti sastoje od 30% organske i 70% anorganske tvari, što im daje čvrstoću, ali i podložnost ozljedama. • Opisana je građa dugih kostiju koje se sastoje od dijafize (tijela) i epifiza (krajeva), što su najčešća mjesta prijeloma ekstremiteta. • U fiziologiji nogometa spominje se faza oporavka, ali u kontekstu energetske resinteze, a ne sanacije fizičkih ozljeda.	TRUE	TRUE
UFAF	Smanjenu učestalost ozljeda mišića uzrokuje ______________.	otvoreno							nista nije tocno	Ovo je točan odgovor među ostalim ponuđenima, na slici nisu bili prikazani ostali odgovori pa za ovaj slučaj nema dodatnih bilješki.	TRUE	TRUE
UFAF	Manja je mogucnost ozljede noznog zgloba kod	otvoreno							provodenjem preventivnih vjezbi jacanja misica potkoljenica i stopala	Iako se u dostupnim isječcima ne nalazi poglavlje posvećeno isključivo prevenciji ozljeda, odgovor se izravno oslanja na anatomske i kineziološke principe koji su opisani u materijalima. Izvori naglašavaju da mišićni sustav omogućuje gibanje i stabilizaciju tijela. Specifično, uloga mišića kao fiksatora (vrsta sinergista) ključna je za stabilnost zglobova tijekom izvođenja pokreta, čime se smanjuje rizik od ozljeda. Također, izvori prikazuju pokrete stopala (inverzija, everzija, plantarna i dorzalna fleksija) koje kontroliraju upravo mišići potkoljenice i stopala.  Dodatni uvid iz izvora: • Zglobni sustav (sindezmologija) opisuje zglobove kao pokretne spojeve koji su osigurani zglobnom čahurom i svezama (ligamentima). • Mišići potkoljenice kontroliraju složene pokrete stopala oko kose osi (inverzija i everzija), a njihova snaga izravno utječe na kontrolu tih kretnji. • Skeletni mišići čine značajan dio tjelesne mase (42% kod muškaraca) i njihova funkcija fiksacije je neophodna za sigurnost lokomotornog sustava.	TRUE	TRUE
UFAF	Rana dijagnoza sindroma prenaprezanja omogucuje	otvoreno							bolji odgovor ozljedenog igraca na terapiju i brze izljecenje	Na temelju dostavljenih izvora, moram napomenuti da se u njima ne spominje termin "sindrom prenaprezanja" niti proces dijagnostike i liječenja ozljeda. Priloženi dokumenti fokusirani su isključivo na funkcionalnu anatomiju (ravnine, kosti, zglobovi, mišići) i bioenergetiku sporta (ATP, energetski sustavi, potrošnja kisika). Ipak, u kontekstu kineziologije i sportske medicine (što je širi okvir kolegija UFAF), ponuđeni odgovor je točan. Rana dijagnoza stanja prenaprezanja ključna je kako bi se spriječio prijelaz u kroničnu fazu ili težu ozljedu, što izravno omogućuje učinkovitiju terapiju i brži povratak na teren.  Uvid iz dostupnih izvora koji su posredno povezani s temom: • Izvori naglašavaju važnost faze oporavka i resinteze energetskih zaliha (poput ATP-a i glikogena). Sindrom prenaprezanja često nastaje upravo kada je narušen balans između opterećenja i oporavka. • U poglavlju o mišićnom sustavu navodi se da mišići čine veliki postotak tjelesne mase i omogućuju gibanje pod utjecajem volje, ali su podložni umoru i promjenama ovisno o tipu vlakana (npr. brza glikolitička vlakna tipa IIb brže se umaraju). • Efikasnost rada (η) u nogometu je niska (oko 25%), što znači da se 75% energije gubi kao toplina, što dodatno opterećuje organizam tijekom intenzivnih napora.	TRUE	TRUE
UFAF	Od sve 3 vrste hranjivih tvari, najvece su tjelesne rezerve ________.	otvoreno							masti	Iako izvori ne sadrže jednu eksplicitnu rečenicu koja izravno glasi "masti su najveća rezerva", oni pružaju ključne podatke koji to potvrđuju kroz energetsku vrijednost hranjivih tvari. Prema izvoru o bioenergetici, 1 gram masti oslobađa 9 kcal, dok 1 gram ugljikohidrata oslobađa samo 4.1 kcal. S obzirom na to da su masti primarni izvor energije za dugotrajne aktivnosti niskog intenziteta (oksidacija masti) te da imaju više nego dvostruko veću energetsku gustoću, one predstavljaju najveći rezervoar energije u ljudskom tijelu.  Dodatni uvid iz izvora: • Energetska gustoća: Masti su najučinkovitiji oblik pohrane energije (9 kcal/g) u usporedbi s ugljikohidratima (4.1 kcal/g). • Kalorijski ekvivalent: Potrošnjom 1 litre kisika pri oksidaciji masti oslobađa se 4.7 kcal, dok se kod ugljikohidrata oslobađa 5 kcal. • Uloga u sportu: "Oksidacija masti" navedena je kao ključan dio aerobnog energetskog sustava.	TRUE	TRUE
UFAF	Molekula bogata energijom, koja je osnovni i jedini direktni izvor energije u tjelesnim stanicama naziva se ___, a resintetizira se iz svih drugih biokemijskih izvora energije.	otvoreno							ATP	Izvori izričito navode da je adenozintrifosfat (ATP) jedini izvor energije koji stanica može izravno koristiti za mišićnu kontrakciju, zbog čega se naziva i "energetskom monetom organizma". Također, materijali kroz poglavlja o energetskim sustavima i kapacitetima objašnjavaju procese resinteze ATP-a iz drugih kemijskih izvora poput fosfokreatina, glikogena i masti.  Dodatni uvid iz izvora: • Kemijska reakcija: Oslobađanje energije događa se prema formuli: ATP → ADP + PO4 + Energija. • Energetski sustavi: ATP se resintetizira putem anaerobnih sustava (fosfageni i glikolitički) te aerobnih sustava (oksidacija ugljikohidrata i masti). • Fiziološka jedinica: Za mjerenje rada i energije u fiziologiji često se koristi litra kisika (L O2), pri čemu 1L O2 oslobađa oko 5 kcal iz ugljikohidrata.	TRUE	TRUE
UFAF 	Od tri energetska sustava koji osiguravaju energiju za misicni rad, najveci kapacitet, a najmanju snagu ima ___________ sustav.	otvoreno							aerobni	Aerobni sustav (koji uključuje aerobnu glikolizu i oksidaciju masti) karakterizira najveći energetski kapacitet jer se oslanja na velike tjelesne rezerve (naročito masti koje oslobađaju 9 kcal/g), ali ima najmanju snagu (brzinu oslobađanja energije) u usporedbi s anaerobnim sustavima zbog složenosti metaboličkih procesa koji zahtijevaju prisutnost kisika,.  Dodatni uvid iz izvora: • Tri energetska sustava navedena u izvorima su: anaerobni fosfageni (alaktatni), anaerobni glikolitički (laktatni) i aerobni sustav. • Dok aerobni sustav ima najmanju snagu, on je ključan za nogomet jer prosječan primitak kisika tijekom utakmice iznosi 75-85% od maksimalnog, što ukazuje na dominantnu ulogu aerobne izdržljivosti u ovom sportu. • Izvori navode da se u bioenergetici snaga sustava mjeri u Wattima, dok se kapacitet odnosi na ukupnu količinu dostupne energije (mjerenu u kcal ili L O2),,.	TRUE	TRUE
UFAF	Nagomilavanje mlijecne kiseline u misicima nastaje pri:	otvoreno							anaerobnoj glikolizi	Izvori u poglavlju o energetskim sustavima izričito navode anaerobni glikolitički sustav i uz njega u zagradi dodaju pojam "laktatni". Laktatni sustav podrazumijeva razgradnju glikogena bez prisutnosti kisika, pri čemu kao nusprodukt nastaje laktat, odnosno mliječna kiselina, koja se nagomilava u mišićima i krvi te uzrokuje umor.  Dodatni uvid iz izvora: • Podjela anaerobnih sustava: Izvori razlikuju fosfageni (alaktatni) sustav, koji ne stvara mliječnu kiselinu, i glikolitički (laktatni) sustav, koji ju stvara. • Mišićna vlakna: Nagomilavanje mliječne kiseline najčešće se povezuje s brzim anaerobno-glikolitičkim vlaknima (bijela, tip IIb) koja su specijalizirana za rad u tim uvjetima. • Energetski proces: Dok anaerobna glikoliza proizvodi laktat, aerobni sustav (oksidacija) koristi kisik za potpunu razgradnju tvari bez stvaranja mliječne kiseline kao krajnjeg produkta.	TRUE	TRUE
UFAF	Oštra, probadajuća bol s prednje strane natkoljenice koja je nastala u trenutku udaranja lopte hrptom je najvjerojatnije uzrokovana:	otvoreno							oštećenjem mišića ispružača potkoljenice (m. quadriceps femoris)	Izvori koji opisuju kineziologiju i anatomiju donjih ekstremiteta potvrđuju da se na prednjoj strani natkoljenice nalazi četveroglavi mišić natkoljenice (m. quadriceps femoris), koji je primarni ispružač (ekstenzor) potkoljenice u zglobu koljena. Udaranje lopte hrptom stopala zahtijeva snažnu i eksplozivnu kontrakciju ovog mišića kako bi se izvršila brza ekstenzija potkoljenice, a oštra, probadajuća bol u tom trenutku tipičan je znak mišićne ozljede (istegnuća ili rupture).  Dodatni uvid iz izvora: • Funkcija: Pokret ekstenzije (ispružanja) potkoljenice odvija se u zglobu koljena oko poprečne osovine u sagitalnoj ravnini. • Anatomija: Glavni mišić na prednjoj strani natkoljenice (označen brojem 91 na anatomskim prikazima) je m. quadriceps femoris, koji se sastoji od više glava (m. rectus femoris, m. vastus lateralis, medialis i intermedius). • Mehanika: Kod udarca lopte, ovaj mišić djeluje kao agonist jer izravno vrši pokret ekstenzije. • Energija: Ovakvi eksplozivni pokreti u nogometu primarno se oslanjaju na anaerobni fosfageni sustav (ATP-CP) koji osigurava veliku snagu u vrlo kratkom vremenu.	TRUE	TRUE
UFAF	Od čega se sastoji motorička jedinica?	otvoreno							motoričkog živca i mišićnih vlakana koje inervira	U izvorima se u poglavlju "Aktivacija mišića - neuromuskularna veza" izričito definira da se motorička jedinica sastoji od motoričkog živca i svih mišićnih vlakana koje on inervira. Također se navodi da jedan motorički živac može inervirati od samo jednog pa do više stotina mišićnih vlakana.  Dodatni uvid iz izvora: • Neuromuskularna veza: Motorička jedinica predstavlja funkcionalni spoj živčanog i mišićnog sustava. • Varijabilnost: Broj mišićnih vlakana unutar jedne motoričke jedinice ovisi o preciznosti pokreta koju mišić treba izvršiti. • Inervacija: Podražaj za kontrakciju mišića kreće iz motoričkih centara u velikom mozgu (precentralna vijuga) i putem živaca dolazi do mišićnih vlakana.	TRUE	TRUE
UFAF	Distalno znači da je struktura bliže korijenu ekstremiteta.	višestruki_izbor	DA	NE					B	Tvrdnja da "distalno znači da je struktura bliže korijenu ekstremiteta" je netočna. Prema izvorima, u poglavlju o orijentaciji na udovima, pojam distalno definira se kao položaj koji je dalje od trupa (korijena ekstremiteta), dok se pojam proksimalno koristi za opisivanje onoga što je bliže trupu.  Dodatni uvid iz izvora: • Kinetički lanci: Koncept "distalnog" dodatno se pojašnjava kod kinetičkih lanaca. Kod otvorenog kinetičkog lanca, distalni segment tijela (npr. stopalo ili šaka) je slobodan u prostoru, što potvrđuje da se radi o dijelu koji je najudaljeniji od trupa. • Duge kosti: Na anatomskom prikazu duge kosti (poput nadlaktične kosti), gornji kraj koji ulazi u zglob bliže trupu naziva se proksimalna epifiza, dok se donji kraj naziva distalna epifiza. • Orijentacija: Uz proksimalno i distalno, za točnu orijentaciju na tijelu koriste se i ravnine: sagitalna (središnja), frontalna (čeona) i transverzalna (poprečna).	TRUE	TRUE
UFAF	Ekstenzija znači savijanje zgloba.	višestruki_izbor	DA	NE					B	U izvorima se u poglavlju "Podjela pokreta" jasno definiraju i grafički prikazuju osnovni pokreti u zglobovima. Prema izvoru, ekstenzija je definirana kao ispružanje, dok je fleksija definirana kao pregibanje (savijanje). Stoga je tvrdnja da ekstenzija znači savijanje zgloba netočna.  Dodatni uvid iz izvora: • Fleksija i ekstenzija se odvijaju u sagitalnoj (središnjoj) ravnini oko poprečne (transverzalne) osovine. • Primjeri pokreta u izvoru uključuju:     ◦ Zglob lakta: Fleksija (savijanje podlaktice prema nadlaktici) i ekstenzija (ispružanje ruke).     ◦ Zglob koljena: Fleksija (savijanje potkoljenice) i ekstenzija (ispružanje noge).     ◦ Šaka i stopalo: Specifični oblici fleksije poput palmarne/plantarne i dorzalne fleksije.	TRUE	TRUE
UFAF	Fleksija znači opružanje zgloba.	višestruki_izbor	DA	NE					B	U izvorima se u poglavlju o podjeli pokreta jasno definira da fleksija znači pregibanje, dok je ekstenzija definirana kao ispružanje (što je sinonim za opružanje). Ovi se suprotni pokreti uvijek odvijaju u sagitalnoj (središnjoj) ravnini oko poprečne (transverzalne) osovine.  Dodatni uvid iz izvora: • Fleksija i ekstenzija su osnovni pokreti koji se vrše u zglobovima poput lakta i koljena. • Kod nekih zglobova koriste se specifični nazivi za fleksiju, poput antefleksije (pomak prema naprijed) i retrofleksije (pomak prema natrag) u zglobu ramena. • Kod stopala i šake razlikujemo palmarnu/plantarnu fleksiju (prema dlanu/tabanu) i dorzalnu fleksiju (prema gornjoj strani).	TRUE	TRUE
UFAF	Abdukcija je odmicanje dijela tijela od središnje osi.	višestruki_izbor	DA	NE					A	U izvorima se u poglavlju o podjeli pokreta abdukcija izričito definira kao odmicanje. Ovaj se pokret izvodi u čeonoj (frontalnoj) ravnini oko sagitalne (središnje) osovine, a podrazumijeva pomicanje ekstremiteta ili dijela tijela u stranu, odnosno dalje od središnje ravnine tijela.  Dodatni uvid iz izvora: • Adukcija je suprotan pokret abdukciji i definira se kao primicanje tijelu. • Oba pokreta (abdukcija i adukcija) vrše se oko sagitalne (središnje) osovine, koja je zamišljeni pravac što prolazi kroz zglob u smjeru naprijed-natrag. • Osim ekstremiteta, slični se pokreti u čeonoj ravnini vrše i trupom te glavom, ali se tada nazivaju laterofleksija (bočni otklon).	TRUE	TRUE
UFAF	Adukcija je primicanje dijela tijela prema središnjoj osi.	višestruki_izbor	DA	NE					A	U izvorima se u poglavlju o podjeli pokreta adukcija izričito definira kao primicanje. Ovaj se pokret izvodi u čeonoj (frontalnoj) ravnini oko sagitalne (središnje) osovine, a podrazumijeva pomicanje ekstremiteta ili dijela tijela prema središnjoj ravnini (osi) tijela.  Dodatni uvid iz izvora: • Abdukcija je suprotan pokret adukciji i definira se kao odmicanje od tijela. • Oba pokreta, adukcija i abdukcija, odvijaju se oko sagitalne (središnje) osi koja prolazi kroz zglob u smjeru naprijed-natrag. • Osim ekstremiteta, u istoj se ravnini vrše i pokreti glave i trupa, koji se nazivaju laterofleksija (bočni otklon ulijevo ili udesno).	TRUE	TRUE
UFAF	Napiši koje dijelove kosti čini rameni zglob.	otvoreno							Nadlaktična kost, lopatica, zglobna čahura, ligamenti i zglobna hrskavica.	Izvori koji prikazuju anatomiju zglobova i konkretno rameni zglob potvrđuju da njega čine nadlaktična kost (humerus) i lopatica (scapula). Uz same kosti, funkcionalni rameni zglob, kao i svaki pokretni zglob, sastoji se od zglobne čahure (capsula articularis), zglobnih sveza (ligamenata) i zglobne hrskavice koja prekriva zglobna tijela.  Dodatni uvid iz izvora: • Zglobna tijela: Na lopatici se nalazi zglobna čašica (glenoid cavity of scapula), koja je u odnosu na glavu nadlaktične kosti mala, pa je zglob produbljen hrskavičnim rubom koji se zove glenoidni labrum. • Zglobna čahura: Sastoji se od vanjskog fibroznog lista (capsula fibrosa) i unutrašnjeg sinovijalnog lista (capsula synovialis) koji luči tekućinu za podmazivanje. • Stabilizacija: Uz ligamente, rameni zglob stabiliziraju i tetive mišića, poput m. supraspinatusa, te deltoidni mišić. • Pokretljivost: Zbog ovakve građe, rameni zglob omogućuje širok raspon pokreta: fleksiju, ekstenziju, abdukciju, adukciju te unutrašnju i vanjsku rotaciju.	TRUE	TRUE
UFAF	Napiši kako se zove kost podlaktice.	otvoreno							Radius i ulna.	Podlakticu čine dvije kosti: radius (palčana kost) i ulna (lakatna kost). Anatomski prikazi u izvorima koji ilustriraju pokrete u zglobu lakta jasno prikazuju ove dvije kosti kao osnovu segmenta podlaktice. One sudjeluju u složenim kretnjama poput fleksije i ekstenzije u laktu, ali i pronacije i supinacije oko uzdužne osovine, pri čemu se ove dvije kosti međusobno križaju. Sustav organa za pokretanje, koji uključuje ove kosti, detaljno je opisan u stručnoj literaturi navedenoj u izvorima, poput atlasa Sobotta i Platzera. Ove kosti pripadaju koštanom sustavu (osteologiji), koji s mišićnim i zglobnim sustavom tvori cjelinu lokomotornog aparata.  Dodatni uvid iz izvora: • Zglob lakta je mjesto gdje se nadlaktična kost spaja s kosti podlaktice, omogućujući pokrete u sagitalnoj ravnini. • Pokreti pronacije i supinacije (okretanja dlana prema dolje ili gore) specifični su za kosti podlaktice i odvijaju se u poprečnoj ravnini oko uzdužne osovine. • Kosti se sastoje od 30% organske i 70% anorganske tvari, što im osigurava potrebnu čvrstoću za obavljanje mehaničkog rada u sportu.	TRUE	TRUE
UFAF	Za dio sile mišića koji vrši isti pokret kažemo da je?	otvoreno							Agonist.	Izvori u poglavlju o podjeli mišića izričito navode da su agonisti oni mišići koji vrše isti pokret. Uz njih, materijali definiraju i antagoniste te sinergiste kako bi objasnili funkcionalnu ulogu mišića u pokretu.  Dodatni uvid iz izvora: • Antagonisti su mišići koji vrše suprotni pokret u odnosu na agoniste. • Sinergisti su mišići koji sudjeluju pri pokretu, ali ga sami ne vrše, a u njih ubrajamo i fiksatore. • Skeletni mišići omogućuju gibanje pod utjecajem volje i čine oko 42% tjelesne mase kod muškaraca te 39% kod žena. • Aktivacija mišića odvija se putem motoričke jedinice, koja se sastoji od motoričkog živca i svih mišićnih vlakana koje on inervira.	TRUE	TRUE
UFAF	Ako jako savijemo potkoljenicu u koljenu dolazi do pokreta koji se zove?	otvoreno							Fleksija u koljenskom zglobu.	U poglavlju "Podjela pokreta", izvor grafički prikazuje i imenuje pokret fleksije (pregibanja) upravo na primjeru zgloba koljena, pri čemu se potkoljenica savija prema natrag. Ovaj se pokret, kao i fleksija u drugim zglobovima poput lakta ili kuka, odvija u sagitalnoj (središnjoj) ravnini oko poprečne (transverzalne) osovine. Suprotan pokret, koji podrazumijeva ispružanje noge u koljenu, naziva se ekstenzija.  Dodatni uvid iz izvora: • Zglobna tijela: Zglob koljena čine kondili bedrene kosti i gornja ploha goljenične kosti, a njihove su plohe prekrivene zglobnom hrskavicom koja je elastična i glatke površine kako bi omogućila nesmetano izvođenje fleksije. • Stabilizacija: Pokretni zglobovi poput koljena osigurani su zglobnom čahurom i svezama (ligamentima), a unutar zglobne šupljine nalazi se sinovijalna tekućina koja podmazuje hrskavicu tijekom kretanja. • Mišićna aktivacija: Za izvođenje fleksije u koljenu zaduženi su mišići stražnje strane natkoljenice koji u tom pokretu djeluju kao agonisti, dok su mišići prednje strane (ekstenzori) tada u ulozi antagonista.	TRUE	TRUE
